STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,STATE
USR0000AGOP,"GOODPASTURE ALASKA, AK US",64.2381,-145.2669,463.3,ALASKA
USR0000ABEN,"BEN CREEK ALASKA, AK US",65.2833,-143.0667,563.9,ALASKA
USS0045R01S,"FORT YUKON, AK US",66.57,-145.25,131.1,ALASKA
USS0049L13S,"TURNAGAIN PASS, AK US",60.78,-149.18,573,ALASKA
USR0000ATHO,"THORNE BAY ALASKA, AK US",55.75,-132.9833,548.6,ALASKA
USC00509687,"VALDEZ, AK US",61.1312,-146.3822,18.9,ALASKA
USS0049L14S,"GROUSE CREEK DIVIDE, AK US",60.26,-149.34,213.4,ALASKA
USW00056401,"GLENNALLEN 64 N, AK US",63.0295,-145.5003,813.5,ALASKA
USC00507141,"PELICAN, AK US",57.9577,-136.2213,3.7,ALASKA
USS0045Q05S,"EAGLE SUMMIT, AK US",65.49,-145.41,1112.5,ALASKA
USR0000ASEV,"SEVEN MILE ALASKA, AK US",65.9383,-149.855,250.9,ALASKA
USR0000ASEL,"SELAWIK ALASKA, AK US",66.6033,-159.1125,32,ALASKA
USS0049L01S,"MOUNT ALYESKA, AK US",60.96,-149.09,469.4,ALASKA
USS0049M22S,"ANCHORAGE HILLSIDE, AK US",61.11,-149.67,634,ALASKA
USR0000AHOW,"HOWARD PASS ALASKA, AK US",68.1561,-156.8958,628.5,ALASKA
USW00025704,"ADAK AIRPORT, AK US",51.88333,-176.65,5.2,ALASKA
USS0049L19S,"SUMMIT CREEK, AK US",60.62,-149.53,426.7,ALASKA
USC00508020,"ROBERTSON RIVER, AK US",63.4501,-143.8335,458.7,ALASKA
USC00501987,"CIRCLE HOT SPRINGS, AK US",65.4939,-144.6422,262.1,ALASKA
USW00025713,"SAINT PAUL ISLAND AIRPORT, AK US",57.15505,-170.22272,8,ALASKA
USW00025711,"ST. PAUL 4 NE, AK US",57.1575,-170.2119,6.1,ALASKA
USR0000AMTN,"MOUNT NOAK ALASKA, AK US",67.1414,-162.9944,246.6,ALASKA
USR0000ATAK,"TOK AKTAS ALASKA, AK US",63.3253,-143.0017,518.8,ALASKA
USR0000ATAN,"TANA KNOB ALASKA, AK US",60.9081,-142.6978,1051.6,ALASKA
USR0000AUCR,"UPPER CHARLEY RIVER ALASKA, AK US",64.5167,-143.2022,1113.7,ALASKA
USR0000AKOY,"KOYUKUK NWR ALASKA, AK US",66.0083,-157.57,30.5,ALASKA
USR0000ATAH,"TAHINICHOK ALASKA, AK US",67.5503,-163.5672,294.4,ALASKA
USS0049M26S,"INDEPENDENCE MINE, AK US",61.79,-149.28,1082,ALASKA
USC00502737,"EKLUTNA WTP, AK US",61.4495,-149.323,195.1,ALASKA
USC00500433,"ATKA, AK US",52.21667,-174.2,11.9,ALASKA
